Time,Contract,Fill Type,Filled Qty,Exec.Price,Value,Fill ID,Side,Fee rate,Rebate,Fees paid,Order Type,Order Price,Order Qty,Unfilled Qty,Order ID,Client Order ID
2025-04-25 19:26:21.341408+05:30 IST Asia/Kolkata,BTCUSD,normal,85,9.444E+4,8027.4,1edfe9820f6c422fabf6a8a9a208f2d4,sell,0.0002,0,1.8944664,limit_order,94440,85,0,417538935,
2025-04-25 12:06:50.719218+05:30 IST Asia/Kolkata,BTCUSD,normal,135,93529,12626.415,36017a6e96a448d1ac5047b51f7279e6,buy,0.0005,0,0,market_order,98177.5,135,0,416896991,
2025-04-25 12:01:23.103085+05:30 IST Asia/Kolkata,BTCUSD,normal,135,93407.5,12610.0125,e6a06e9d4ba549d385f172864e162458,sell,0.0005,0,7.43990738,limit_order,93395,135,0,416896984,
2025-04-23 19:07:59.245065+05:30 IST Asia/Kolkata,BTCUSD,normal,1,9.44E+4,94.4,9b3b9fa0b3c042de8eb6b0bc3f7d4d93,buy,0.0005,0,0,market_order,98657,60,0,413343436,
2025-04-23 19:07:59.245043+05:30 IST Asia/Kolkata,BTCUSD,normal,2,9.44E+4,188.8,65e5cd43d53c4f639dd1151bbac3476f,buy,0.0005,0,0,market_order,98657,60,1,413343436,
2025-04-23 19:07:59.245019+05:30 IST Asia/Kolkata,BTCUSD,normal,1,9.44E+4,94.4,283e17e535ab4239bf42fac7e6df8bcb,buy,0.0005,0,0,market_order,98657,60,3,413343436,
2025-04-23 19:07:59.244993+05:30 IST Asia/Kolkata,BTCUSD,normal,10,9.44E+4,944,cf706dd1fece4b09bbb11021ec992541,buy,0.0005,0,0,market_order,98657,60,4,413343436,
2025-04-23 19:07:59.244938+05:30 IST Asia/Kolkata,BTCUSD,normal,30,9.44E+4,2832,e48433fb2af14c4583f0e8a22771a069,buy,0.0005,0,0,market_order,98657,60,14,413343436,
2025-04-23 19:07:59.244877+05:30 IST Asia/Kolkata,BTCUSD,normal,1,9.44E+4,94.4,624d3449bd7546d492a20cb1a31b0383,buy,0.0005,0,0,market_order,98657,60,44,413343436,
2025-04-23 19:07:59.244831+05:30 IST Asia/Kolkata,BTCUSD,normal,15,9.44E+4,1416,6e1c40b8aa924854b9cd20c6e6c3490e,buy,0.0005,0,0,market_order,98657,60,45,413343436,
2025-04-23 18:59:53.467900+05:30 IST Asia/Kolkata,BTCUSD,normal,52,9.395E+4,4885.4,cce8591388724c1688eb69986d1ed421,sell,0.0002,0,1.1529544,limit_order,93950,60,0,413343138,
2025-04-23 18:59:52.434351+05:30 IST Asia/Kolkata,BTCUSD,normal,8,9.395E+4,751.6,1757a0e6bf694c75a8024efca0b820cc,sell,0.0002,0,0.1773776,limit_order,93950,60,52,413343138,
2025-04-21 16:39:28.059528+05:30 IST Asia/Kolkata,BTCUSD,normal,100,87187.5,8718.75,7cdbdfd24de440f0aac051cd28faf3dc,sell,0.0005,0,5.1440625,limit_order,87187,100,0,407494785,
2025-04-21 13:08:03.050500+05:30 IST Asia/Kolkata,BTCUSD,normal,100,87448,8744.8,16b942def47e4208977841feccd66710,buy,0.0002,0,2.0637728,limit_order,87448,100,0,407494122,
2025-04-21 12:55:48.121413+05:30 IST Asia/Kolkata,BTCUSD,normal,175,87331.5,15283.0125,2600dae9ef36499db1eb84b3fb7eb246,sell,0.0005,0,9.01697738,limit_order,87300,175,0,407439894,
2025-04-21 12:22:14.033450+05:30 IST Asia/Kolkata,BTCUSD,normal,175,87475,15308.125,3a3d4ccb0e5748938149c3384667b325,buy,0.0002,0,3.6127175,limit_order,87475,175,0,407439159,
2025-04-17 19:37:30.086224+05:30 IST Asia/Kolkata,BTCUSD,normal,85,84103,7148.755,a70792b3b22b4dbf87c3955a9b375283,sell,0.0005,0,4.21776545,market_order,79934.5,85,0,400597233,
2025-04-17 18:57:26.136116+05:30 IST Asia/Kolkata,BTCUSD,normal,85,84594,7190.49,3312a39a8ce342a8aee9090d28d4c150,buy,0.0005,0,4.2423891,limit_order,84600,85,0,400595459,
2025-04-14 18:09:16.599963+05:30 IST Asia/Kolkata,BTCUSD,normal,100,85115,8511.5,10f16d8afc52400383006f6b05f4b3e4,buy,0.0005,0,5.021785,market_order,89334.5,100,0,392350367,
2025-04-14 14:40:05.278428+05:30 IST Asia/Kolkata,BTCUSD,normal,100,84727.5,8472.75,3a48df6457af4fb382dd4771da11601f,sell,0.0005,0,4.9989225,limit_order,84725,100,0,392349667,
2025-04-13 19:14:44.691160+05:30 IST Asia/Kolkata,BTCUSD,normal,90,83724.5,7535.205,4dd925d58de34af8999ed1302b301c5e,sell,0.0005,0,0,limit_order,83700,90,0,389882313,
2025-04-13 19:05:14.518971+05:30 IST Asia/Kolkata,BTCUSD,normal,90,84085,7567.65,c88ee5b11c464e2e86a54d8147218638,buy,0.0002,0,1.7859654,limit_order,84085,90,0,389768437,
2025-04-11 19:49:34.208001+05:30 IST Asia/Kolkata,BTCUSD,normal,65,82222.5,5344.4625,551ef8ffa89f4f0084cfae5933bebd72,sell,0.0005,0,0,market_order,78151.5,65,0,385069311,
2025-04-11 19:40:24.721365+05:30 IST Asia/Kolkata,BTCUSD,normal,65,82672,5373.68,931b8e742d874b238ebb73888c329adc,buy,0.0002,0,1.26818848,limit_order,82672,65,0,385068941,
2025-04-10 18:50:34.983792+05:30 IST Asia/Kolkata,BTCUSD,normal,75,81843.5,6138.2625,b95f58f667fd4bd29846959b49d8f21b,buy,0.0005,0,3.62157488,limit_order,81850,75,0,381797432,
2025-04-10 18:23:03.467348+05:30 IST Asia/Kolkata,BTCUSD,normal,70,81556.5,5708.955,9d1d3ae84db44d1b86c30ba995a05bec,sell,0.0002,0,1.34731338,limit_order,81556.5,75,0,381794802,
2025-04-10 18:22:52.751601+05:30 IST Asia/Kolkata,BTCUSD,normal,5,81556.5,407.7825,499a5f5ec4d544fba5f1c10936d591b0,sell,0.0002,0,0.09623667,limit_order,81556.5,75,70,381794802,
2025-04-10 12:58:17.248576+05:30 IST Asia/Kolkata,BTCUSD,normal,85,81841,6956.485,f2c3ba97e1c749da8871c135b60fd58c,sell,0.0005,0,4.10432615,limit_order,81800,85,0,381119725,
2025-04-10 12:30:34.585764+05:30 IST Asia/Kolkata,BTCUSD,normal,85,8.211E+4,6979.35,d2090795c8ed46638ba46d96e44cda23,buy,0.0002,0,1.6471266,limit_order,82110,85,0,381118210,
2025-04-09 20:22:50.268008+05:30 IST Asia/Kolkata,BTCUSD,normal,65,77093,5011.045,22effe637be54a94aad747c5f860559f,buy,0.0005,0,0,market_order,80862.5,65,0,378902246,
2025-04-09 20:09:56.980247+05:30 IST Asia/Kolkata,BTCUSD,normal,65,77525,5039.125,67bb68c55ecb4748ae30901492064a78,sell,0.0002,0,1.1892335,limit_order,77525,65,0,378862889,
2025-04-09 19:13:04.046226+05:30 IST Asia/Kolkata,BTCUSD,normal,22,77567,1706.474,f80a02ec5c8f43ef8cdb6084fa2e3c72,sell,0.0005,0,0,market_order,73647,85,0,378677740,
2025-04-09 19:13:04.046152+05:30 IST Asia/Kolkata,BTCUSD,normal,63,77567.5,4886.7525,1473b32dca7448f69135867de954a94f,sell,0.0005,0,0,market_order,73647,85,22,378677740,
2025-04-09 19:03:04.488102+05:30 IST Asia/Kolkata,BTCUSD,normal,85,7.735E+4,6574.75,d35e75caf04c49798a454efa2506042b,buy,0.0002,0,1.551641,limit_order,77350,85,0,378629920,
2025-04-09 01:09:19.985118+05:30 IST Asia/Kolkata,BTCUSD,normal,50,7.65E+4,3825,7c8d8ab9eea7424eb3e47781b2aaa0b3,sell,0.0002,0,0.9027,limit_order,76500,50,0,376111220,
2025-04-08 23:16:01.076456+05:30 IST Asia/Kolkata,BTCUSD,normal,50,7.705E+4,3852.5,ff63f0d7e22f4e1ebe0fc5420f68722b,buy,0.0002,0,0.90919,limit_order,77050,50,0,376094074,
2025-04-08 19:55:14.438833+05:30 IST Asia/Kolkata,BTCUSD,normal,40,79452.5,3178.1,dd7c6b5b62254844a9033bd179b1de24,sell,0.0005,0,1.875079,limit_order,79450,65,0,375328357,
2025-04-08 19:55:14.438792+05:30 IST Asia/Kolkata,BTCUSD,normal,25,79453,1986.325,74023fb77ef14a84ba0e32be119fa534,sell,0.0005,0,1.17193175,limit_order,79450,65,40,375328357,
2025-04-08 19:34:19.885438+05:30 IST Asia/Kolkata,BTCUSD,normal,65,79994,5199.61,e28019fee7a649b3a98ea61bf1315eef,buy,0.0002,0,1.22710796,limit_order,79994,65,0,375327137,
2025-04-08 02:46:47.775718+05:30 IST Asia/Kolkata,BTCUSD,normal,50,7.915E+4,3957.5,912d59c5e3f548588d7bac06429e2236,buy,0.0002,0,0.93397,limit_order,79150,50,0,373076476,
2025-04-08 00:35:02.786303+05:30 IST Asia/Kolkata,BTCUSD,normal,20,7.86E+4,1572,479f03b3e16d4480a4eac0969c881138,sell,0.0002,0,0.370992,limit_order,78600,20,0,373374272,
2025-04-07 22:46:00.768102+05:30 IST Asia/Kolkata,BTCUSD,normal,30,78275,2348.25,d69fbcac1f6848f89fca19b8055cfc61,sell,0.0002,0,0.554187,limit_order,78275,30,0,373073711,
2025-04-06 18:52:00.127794+05:30 IST Asia/Kolkata,BTCUSD,normal,100,82553,8255.3,4615812affe340649d759fc7253fb2ae,sell,0.0005,0,4.870627,limit_order,82550,100,0,368399377,
2025-04-06 17:30:56.200565+05:30 IST Asia/Kolkata,BTCUSD,normal,100,82775,8277.5,aaf21f8688504ee7b4dd1574a679123a,buy,0.0002,0,1.95349,limit_order,82775,100,0,368393662,
2025-04-05 18:08:00.312687+05:30 IST Asia/Kolkata,BTCUSD,normal,47,83243.5,3912.4445,ca481821f76c492bad2d4b3a6f47d3f5,sell,0.0005,0,2.30834226,limit_order,83220,80,0,366618606,
