id,Asset ID,Asset Symbol,Amount with GST,GST,Balance,Transaction type,Contract/Fund,Reference ID,Date
458303485,14,USD,-3.6147412,-0.551401,1052.30749464,commission,BTCUSD,,2025-03-24 16:05:55.982961+05:30 IST Asia/Kolkata
458303483,14,USD,-27.58,,1055.92223584,cashflow,BTCUSD,,2025-03-24 16:05:55.982914+05:30 IST Asia/Kolkata
458303478,14,USD,0.01095613,,1083.50223584,funding,BTCUSD,,2025-03-24 16:05:55.980587+05:30 IST Asia/Kolkata
458199795,14,USD,-1.4393876,-0.219568,1083.49127971,commission,BTCUSD,,2025-03-24 15:30:47.275071+05:30 IST Asia/Kolkata
442959759,14,USD,-29.75,,1084.93066731,cashflow,BTCUSD,,2025-03-19 18:47:45.948152+05:30 IST Asia/Kolkata
442959757,14,USD,0.00609265,,1114.68066731,funding,BTCUSD,,2025-03-19 18:47:45.924297+05:30 IST Asia/Kolkata
442912037,14,USD,-0.3559824,-0.054302,1114.67457466,commission,BTCUSD,,2025-03-19 18:35:45.131775+05:30 IST Asia/Kolkata
442911933,14,USD,-0.0197768,-0.003017,1115.03055706,commission,BTCUSD,,2025-03-19 18:35:44.556697+05:30 IST Asia/Kolkata
442911694,14,USD,-0.0791072,-0.012067,1115.05033386,commission,BTCUSD,,2025-03-19 18:35:44.186678+05:30 IST Asia/Kolkata
442911612,14,USD,-0.1186608,-0.018101,1115.12944106,commission,BTCUSD,,2025-03-19 18:35:43.903057+05:30 IST Asia/Kolkata
442911503,14,USD,-0.1186608,-0.018101,1115.24810186,commission,BTCUSD,,2025-03-19 18:35:43.663776+05:30 IST Asia/Kolkata
442911457,14,USD,-0.3757592,-0.057319,1115.36676266,commission,BTCUSD,,2025-03-19 18:35:43.384421+05:30 IST Asia/Kolkata
442911357,14,USD,-0.1582144,-0.024134,1115.74252186,commission,BTCUSD,,2025-03-19 18:35:43.085765+05:30 IST Asia/Kolkata
442911230,14,USD,-0.098884,-0.015084,1115.90073626,commission,BTCUSD,,2025-03-19 18:35:42.790194+05:30 IST Asia/Kolkata
442911057,14,USD,-0.0593304,-0.00905,1115.99962026,commission,BTCUSD,,2025-03-19 18:35:42.532233+05:30 IST Asia/Kolkata
438349257,14,USD,-1.173864,-0.179064,1116.05895066,commission,BTCUSD,,2025-03-18 10:18:57.214925+05:30 IST Asia/Kolkata
438349256,14,USD,6,,1117.23281466,cashflow,BTCUSD,,2025-03-18 10:18:57.214870+05:30 IST Asia/Kolkata
438349254,14,USD,-0.0072087,,1111.23281466,funding,BTCUSD,,2025-03-18 10:18:57.209395+05:30 IST Asia/Kolkata
438271122,14,USD,-0.00883232,,1111.24002336,funding,BTCUSD,,2025-03-18 09:31:33.058762+05:30 IST Asia/Kolkata
438151159,14,USD,-0.00885275,,1111.24885568,funding,BTCUSD,,2025-03-18 08:31:33.061932+05:30 IST Asia/Kolkata
438042846,14,USD,-0.00885171,,1111.25770843,funding,BTCUSD,,2025-03-18 07:31:33.056499+05:30 IST Asia/Kolkata
437919505,14,USD,-0.00886222,,1111.26656014,funding,BTCUSD,,2025-03-18 06:31:33.042996+05:30 IST Asia/Kolkata
437833570,14,USD,-0.00637989,,1111.27542236,funding,BTCUSD,,2025-03-18 05:31:33.022693+05:30 IST Asia/Kolkata
437758183,14,USD,-0.00639044,,1111.28180225,funding,BTCUSD,,2025-03-18 04:31:33.046781+05:30 IST Asia/Kolkata
437691737,14,USD,-0.00638245,,1111.28819269,funding,BTCUSD,,2025-03-18 03:31:33.045868+05:30 IST Asia/Kolkata
437616117,14,USD,-0.00638941,,1111.29457514,funding,BTCUSD,,2025-03-18 02:31:33.047184+05:30 IST Asia/Kolkata
437514689,14,USD,-0.00641616,,1111.30096455,funding,BTCUSD,,2025-03-18 01:31:33.026223+05:30 IST Asia/Kolkata
437401591,14,USD,-0.00639466,,1111.30738071,funding,BTCUSD,,2025-03-18 00:31:33.039042+05:30 IST Asia/Kolkata
437235966,14,USD,-0.00637296,,1111.31377537,funding,BTCUSD,,2025-03-17 23:31:33.059856+05:30 IST Asia/Kolkata
437031963,14,USD,-0.00689173,,1111.32014833,funding,BTCUSD,,2025-03-17 22:31:33.066170+05:30 IST Asia/Kolkata
436828902,14,USD,-0.03836188,,1111.32704006,funding,BTCUSD,,2025-03-17 21:31:33.048306+05:30 IST Asia/Kolkata
436635623,14,USD,-0.01785183,,1111.36540194,funding,BTCUSD,,2025-03-17 20:31:33.046861+05:30 IST Asia/Kolkata
436547526,14,USD,-1.074744,-0.163944,1111.38325377,commission,BTCUSD,,2025-03-17 20:01:53.780425+05:30 IST Asia/Kolkata
436546398,14,USD,-0.0781632,-0.011923,1112.45799777,commission,BTCUSD,,2025-03-17 20:01:27.873582+05:30 IST Asia/Kolkata
436546368,14,USD,-0.0195408,-0.002981,1112.53616097,commission,BTCUSD,,2025-03-17 20:01:27.621690+05:30 IST Asia/Kolkata
404709416,14,USD,-7.29056897,-1.112121,1112.55570177,commission,P-BTC-86000-080325,,2025-03-08 17:30:01.336939+05:30 IST Asia/Kolkata
